"Month","Year","Dengue_Cases"
"Apr",2008,131.133314
"Aug",2008,159.977411
"Dec",2008,93.656299
"Feb",2008,49.387125
"Jan",2008,79.859151
"Jul",2008,152.639402
"Jun",2008,210.242227
"Mar",2008,115.134158
"May",2008,129.204658
"Nov",2008,36.173459
"Oct",2008,58.741518
"Sep",2008,307.654736
"Apr",2009,98.152551
"Aug",2009,39.544457
"Dec",2009,171.745686
"Feb",2009,96.479137
"Jan",2009,87.968786
"Jul",2009,40.665545
"Jun",2009,215.763498
"Mar",2009,190.366301
"May",2009,124.03703
"Nov",2009,95.377708
"Oct",2009,70.55726
"Sep",2009,85.848888
"Apr",2010,33.546858
"Aug",2010,90.164543
"Dec",2010,138.446132
"Feb",2010,95.597563
"Jan",2010,81.624304
"Jul",2010,55.225675
"Jun",2010,60.046579
"Mar",2010,174.138774
"May",2010,32.442853
"Nov",2010,71.393145
"Oct",2010,74.176186
"Sep",2010,135.638831
"Apr",2011,58.769981
"Aug",2011,88.231935
"Dec",2011,184.881978
"Feb",2011,46.520834
"Jan",2011,33.664122
"Jul",2011,109.272585
"Jun",2011,187.125473
"Mar",2011,93.347659
"May",2011,134.839002
"Nov",2011,91.057798
"Oct",2011,53.876353
"Sep",2011,143.897518
"Apr",2012,162.217786
"Aug",2012,128.880871
"Dec",2012,607.499491
"Feb",2012,251.272489
"Jan",2012,114.48472
"Jul",2012,75.884788
"Jun",2012,276.130143
"Mar",2012,400.205919
"May",2012,191.472187
"Nov",2012,421.72803
"Oct",2012,239.400523
"Sep",2012,423.702772
"Apr",2013,75.918578
"Aug",2013,448.679516
"Dec",2013,696.56174
"Feb",2013,374.950603
"Jan",2013,244.442595
"Jul",2013,387.480399
"Jun",2013,678.009669
"Mar",2013,530.467346
"May",2013,132.942245
"Nov",2013,530.617138
"Oct",2013,303.438201
"Sep",2013,515.580707
"Apr",2014,249.492536
"Aug",2014,509.790508
"Dec",2014,226.417549
"Feb",2014,113.678817
"Jan",2014,56.287973
"Jul",2014,237.790326
"Jun",2014,366.618973
"Mar",2014,522.164217
"May",2014,326.647174
"Nov",2014,87.44494
"Oct",2014,41.435016
"Sep",2014,469.480179
"Apr",2015,212.502998
"Aug",2015,60.957524
"Dec",2015,160.618577
"Feb",2015,255.934449
"Jan",2015,134.407618
"Jul",2015,33.818371
"Jun",2015,331.082715
"Mar",2015,243.469802
"May",2015,485.760663
"Nov",2015,210.638157
"Oct",2015,104.008779
"Sep",2015,121.16441
"Apr",2016,18.947748
"Aug",2016,145.362924
"Dec",2016,194.463466
"Feb",2016,362.349412
"Jan",2016,201.737558
"Jul",2016,70.586659
"Jun",2016,57.414449
"Mar",2016,270.55192
"May",2016,57.025979
"Nov",2016,245.196649
"Oct",2016,119.082652
"Sep",2016,116.410686
